"ROK_JPZ","KRAJ","ID_KRAJ","ROK","SUM_NAROZENI","SUM_KONALI"
2017,"Praha","CZ010","2017",9690,28025
2017,"Středočeský","CZ020","2017",10483,12924
2017,"Jihočeský","CZ031","2017",5733,8458
2017,"Plzeňský","CZ032","2017",4886,7251
2017,"Karlovarský","CZ041","2017",2949,3426
2017,"Ústecký","CZ042","2017",8186,9270
2017,"Liberecký","CZ051","2017",4132,4770
2017,"Královéhradecký","CZ052","2017",4946,7523
2017,"Pardubický","CZ053","2017",4653,7088
2017,"Kraj Vysočina","CZ061","2017",4755,6044
2017,"Jihomoravský","CZ062","2017",10067,17432
2017,"Zlínský","CZ072","2017",5195,8451
2017,"Moravskoslezský","CZ080","2017",11444,15614
2018,"Praha","CZ010","2018",10057,29490
2018,"Jihočeský","CZ031","2018",5736,8727
2018,"Plzeňský","CZ032","2018",4934,7517
2018,"Karlovarský","CZ041","2018",2887,3304
2018,"Ústecký","CZ042","2018",8344,9505
2018,"Královéhradecký","CZ052","2018",5093,7828
2018,"Kraj Vysočina","CZ061","2018",4775,6200
2018,"Olomoucký","CZ071","2018",5830,9076
2018,"Moravskoslezský","CZ080","2018",11552,15795
2019,"Královéhradecký","CZ052","2019",5190,8137
2019,"Kraj Vysočina","CZ061","2019",4819,6165
2020,"Praha","CZ010","2020",11943,33829
2020,"Plzeňský","CZ032","2020",5445,8139
2017,"Olomoucký","CZ071","2017",5667,8599
2018,"Pardubický","CZ053","2018",4645,7259
2018,"Jihomoravský","CZ062","2018",10007,17822
2018,"Zlínský","CZ072","2018",5147,8607
2019,"Praha","CZ010","2019",11131,32589
2019,"Jihočeský","CZ031","2019",5941,9078
2019,"Pardubický","CZ053","2019",4821,7667
2019,"Zlínský","CZ072","2019",5217,8578
2020,"Jihočeský","CZ031","2020",6137,9183
2019,"Plzeňský","CZ032","2019",5046,7713
2019,"Liberecký","CZ051","2019",4312,5058
2020,"Královéhradecký","CZ052","2020",5405,8452
2020,"Pardubický","CZ053","2020",4909,7955
2020,"Olomoucký","CZ071","2020",6183,9494
2022,"Plzeňský","CZ032","2022",6100,9384
2022,"Královéhradecký","CZ052","2022",6122,9354
2022,"Pardubický","CZ053","2022",5709,8911
2022,"Olomoucký","CZ071","2022",6931,10325
2023,"Ústecký","CZ042","2023",10031,12410
2023,"Královéhradecký","CZ052","2023",6254,10453
2023,"Moravskoslezský","CZ080","2023",13402,19475
2018,"Středočeský","CZ020","2018",10633,13285
2018,"Liberecký","CZ051","2018",4045,5181
2019,"Ústecký","CZ042","2019",8601,9804
2019,"Jihomoravský","CZ062","2019",10660,18785
2019,"Karlovarský","CZ041","2019",2903,3351
2019,"Olomoucký","CZ071","2019",5913,8878
2020,"Středočeský","CZ020","2020",12113,14294
2019,"Moravskoslezský","CZ080","2019",11821,15872
2020,"Karlovarský","CZ041","2020",3014,3144
2020,"Ústecký","CZ042","2020",8725,10035
2020,"Kraj Vysočina","CZ061","2020",5070,6692
2020,"Zlínský","CZ072","2020",5670,9123
2020,"Moravskoslezský","CZ080","2020",12177,16340
2022,"Praha","CZ010","2022",13195,38423
2022,"Středočeský","CZ020","2022",14279,16451
2022,"Jihočeský","CZ031","2022",6922,10492
2022,"Karlovarský","CZ041","2022",3438,3732
2022,"Ústecký","CZ042","2022",9715,11103
2022,"Liberecký","CZ051","2022",5045,6214
2022,"Kraj Vysočina","CZ061","2022",5373,7311
2022,"Zlínský","CZ072","2022",6059,9872
2023,"Středočeský","CZ020","2023",15246,18853
2023,"Plzeňský","CZ032","2023",6385,9946
2023,"Kraj Vysočina","CZ061","2023",5649,8203
2023,"Olomoucký","CZ071","2023",7118,11584
2023,"Zlínský","CZ072","2023",6261,10615
2020,"Jihomoravský","CZ062","2020",11149,19366
2022,"Jihomoravský","CZ062","2022",12371,21535
2023,"Karlovarský","CZ041","2023",3562,4113
2023,"Jihomoravský","CZ062","2023",13196,23456
2019,"Středočeský","CZ020","2019",11289,13754
2020,"Liberecký","CZ051","2020",4271,5444
2022,"Moravskoslezský","CZ080","2022",13373,17848
2023,"Praha","CZ010","2023",14339,42619
2023,"Liberecký","CZ051","2023",5220,6655
2023,"Pardubický","CZ053","2023",5752,9325
2023,"Jihočeský","CZ031","2023",7155,11503
