KRAJ,Prediction,r
Praha,34162.499999999985,0.9900480157023419
Středočeský,14926.833333333336,0.958400434445873
Jihočeský,9573.499999999998,0.9659580907894797
Plzeňský,8325.000000000007,0.9909754203028197
Karlovarský,3511.6666666666683,0.8204907825656111
Ústecký,10354.5,0.9506792451741926
Liberecký,5553.666666666664,0.9024874064048792
Královéhradecký,8624.50000000001,0.9375289990121227
Pardubický,8034.166666666666,0.961180258791634
Kraj Vysočina,6769.166666666661,0.9853036566682342
Jihomoravský,19732.666666666646,0.9897904115967182
Zlínský,9207.666666666677,0.9562379333753709
Moravskoslezský,16824.000000000007,0.877691816203682
Olomoucký,9659.333333333343,0.9209161424486975
