ROK;NAROZENI;OKRES;KRAJ;ID_KRAJ
2008;14339;Hlavní město Praha ;Praha;CZ010
2008;1065;Benešov;Středočeský;CZ020
2008;983;Beroun;Středočeský;CZ020
2008;1918;Kladno;Středočeský;CZ020
2008;1070;Kolín;Středočeský;CZ020
2008;768;Kutná Hora;Středočeský;CZ020
2008;1215;Mělník;Středočeský;CZ020
2008;1500;Mladá Boleslav;Středočeský;CZ020
2008;1178;Nymburk;Středočeský;CZ020
2008;1973;Praha-východ;Středočeský;CZ020
2008;1723;Praha-západ;Středočeský;CZ020
2008;1224;Příbram;Středočeský;CZ020
2008;629;Rakovník;Středočeský;CZ020
2008;2123;České Budějovice;Jihočeský;CZ031
2008;765;Český Krumlov;Jihočeský;CZ031
2008;998;Jindřichův Hradec;Jihočeský;CZ031
2008;770;Písek;Jihočeský;CZ031
2008;588;Prachatice;Jihočeský;CZ031
2008;812;Strakonice;Jihočeský;CZ031
2008;1099;Tábor;Jihočeský;CZ031
2008;739;Domažlice;Plzeňský;CZ032
2008;892;Klatovy;Plzeňský;CZ032
2008;2104;Plzeň-město;Plzeňský;CZ032
2008;677;Plzeň-jih;Plzeňský;CZ032
2008;872;Plzeň-sever;Plzeňský;CZ032
2008;497;Rokycany;Plzeňský;CZ032
2008;604;Tachov;Plzeňský;CZ032
2008;1116;Cheb;Karlovarský;CZ041
2008;1346;Karlovy Vary;Karlovarský;CZ041
2008;1100;Sokolov;Karlovarský;CZ041
2008;1595;Děčín;Ústecký;CZ042
2008;1563;Chomutov;Ústecký;CZ042
2008;1425;Litoměřice;Ústecký;CZ042
2008;994;Louny;Ústecký;CZ042
2008;1395;Most;Ústecký;CZ042
2008;1542;Teplice;Ústecký;CZ042
2008;1517;Ústí nad Labem;Ústecký;CZ042
2008;1331;Česká Lípa;Liberecký;CZ051
2008;1042;Jablonec nad Nisou;Liberecký;CZ051
2008;2044;Liberec ;Liberecký;CZ051
2008;803;Semily;Liberecký;CZ051
2008;1857;Hradec Králové;Královéhradecký;CZ052
2008;865;Jičín;Královéhradecký;CZ052
2008;1281;Náchod;Královéhradecký;CZ052
2008;877;Rychnov nad Kněžnou;Královéhradecký;CZ052
2008;1374;Trutnov;Královéhradecký;CZ052
2008;1140;Chrudim;Pardubický;CZ053
2008;1872;Pardubice;Pardubický;CZ053
2008;1152;Svitavy;Pardubický;CZ053
2008;1588;Ústí nad Orlicí;Pardubický;CZ053
2008;1037;Havlíčkův Brod;Kraj Vysočina;CZ061
2008;1351;Jihlava;Kraj Vysočina;CZ061
2008;728;Pelhřimov;Kraj Vysočina;CZ061
2008;1200;Třebíč;Kraj Vysočina;CZ061
2008;1333;Žďár nad Sázavou;Kraj Vysočina;CZ061
2008;1259;Blansko;Jihomoravský;CZ062
2008;4490;Brno-město;Jihomoravský;CZ062
2008;2470;Brno-venkov;Jihomoravský;CZ062
2008;1181;Břeclav;Jihomoravský;CZ062
2008;1559;Hodonín;Jihomoravský;CZ062
2008;996;Vyškov;Jihomoravský;CZ062
2008;1241;Znojmo;Jihomoravský;CZ062
2008;412;Jeseník;Olomoucký;CZ071
2008;2664;Olomouc;Olomoucký;CZ071
2008;1257;Prostějov;Olomoucký;CZ071
2008;1422;Přerov;Olomoucký;CZ071
2008;1363;Šumperk;Olomoucký;CZ071
2008;1124;Kroměříž;Zlínský;CZ072
2008;1467;Uherské Hradiště;Zlínský;CZ072
2008;1568;Vsetín;Zlínský;CZ072
2008;2102;Zlín;Zlínský;CZ072
2008;1014;Bruntál;Moravskoslezský;CZ080
2008;2207;Frýdek-Místek;Moravskoslezský;CZ080
2008;2805;Karviná;Moravskoslezský;CZ080
2008;1647;Nový Jičín;Moravskoslezský;CZ080
2008;1966;Opava;Moravskoslezský;CZ080
2008;3763;Ostrava-město;Moravskoslezský;CZ080
